egoid,alterid,timestamp,outgoing
10153,155221,52:32.0,No
10153,155221,19:33.0,No
10153,155221,49:17.0,Yes
10153,155221,22:42.0,No
10153,155221,07:29.0,Yes
10153,574915,00:31.0,Yes
10153,574915,06:14.0,Yes
10153,155221,45:26.0,Yes
10153,155221,54:16.0,Yes
10153,155221,21:48.0,Yes
10153,155221,24:49.0,No
10153,155221,45:26.0,Yes
10153,155221,04:28.0,Yes
10153,155221,02:08.0,No
10153,91313,54:07.0,No
10153,155221,37:52.0,No
10153,155221,36:06.0,Yes
10153,155221,01:50.0,Yes
10153,155221,23:34.0,No
10153,155221,00:26.0,Yes
10153,155221,26:32.0,Yes
10153,155221,33:36.0,No
10153,155221,19:05.0,No
10153,155221,28:00.0,No
10153,155221,01:02.0,Yes
10153,91313,36:18.0,No
10153,155221,49:13.0,No
10153,155221,05:36.0,No
10153,91313,08:36.0,No
10153,155221,12:33.0,Yes
10153,155221,00:00.0,No
10153,155221,58:24.0,No
10153,91313,08:59.0,No
10153,155221,11:15.0,Yes
10153,155221,19:06.0,No
10153,155221,16:32.0,No
10153,155221,16:32.0,No
10153,155221,37:50.0,No
10153,155221,08:05.0,No
10153,155221,37:13.0,No
10153,155221,59:06.0,Yes
10153,155221,04:48.0,No
10153,155221,15:44.0,No
10153,574915,37:42.0,No
